
time: 2026-04-20 03:40:06.612498+03:00, elapsed: 1.030 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:40:36.824980+03:00, elapsed: 1.065 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:41:06.598757+03:00, elapsed: 0.894 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:41:36.813597+03:00, elapsed: 0.796 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:42:06.823218+03:00, elapsed: 0.806 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:42:37.085816+03:00, elapsed: 0.860 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:43:07.148200+03:00, elapsed: 0.793 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:43:44.646524+03:00, elapsed: 1.272 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:44:58.843885+03:00, elapsed: 45.353 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:44:58.852188+03:00, elapsed: 15.194 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:45:14.826005+03:00, elapsed: 0.942 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:45:49.941157+03:00, elapsed: 0.804 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:45:56.153228+03:00, elapsed: 0.893 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:46:23.082481+03:00, elapsed: 0.796 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:46:57.185945+03:00, elapsed: 0.948 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:46:58.266638+03:00, elapsed: 0.781 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:53:00.744610+03:00, elapsed: 1.010 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:53:18.625913+03:00, elapsed: 0.815 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:53:49.414561+03:00, elapsed: 0.882 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:54:18.998967+03:00, elapsed: 0.865 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:54:49.244285+03:00, elapsed: 1.007 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:55:19.328388+03:00, elapsed: 0.997 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:55:49.681548+03:00, elapsed: 1.039 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:56:20.025599+03:00, elapsed: 1.398 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:56:48.740941+03:00, elapsed: 1.050 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:57:18.871905+03:00, elapsed: 0.999 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:57:49.688986+03:00, elapsed: 0.998 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:58:19.149336+03:00, elapsed: 0.943 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:58:49.388105+03:00, elapsed: 1.018 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:59:19.505455+03:00, elapsed: 0.993 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 03:59:48.632810+03:00, elapsed: 1.003 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:00:18.938736+03:00, elapsed: 1.049 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:00:49.120031+03:00, elapsed: 0.996 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:01:19.142721+03:00, elapsed: 0.916 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:01:48.692020+03:00, elapsed: 0.955 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:02:18.794406+03:00, elapsed: 0.964 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:02:48.958948+03:00, elapsed: 0.969 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:03:18.993580+03:00, elapsed: 0.958 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:03:48.743473+03:00, elapsed: 0.913 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:04:19.207008+03:00, elapsed: 0.900 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:04:49.528164+03:00, elapsed: 1.001 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:05:19.516194+03:00, elapsed: 0.899 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:05:48.972790+03:00, elapsed: 1.010 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:06:18.859184+03:00, elapsed: 1.052 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:06:48.895030+03:00, elapsed: 1.002 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:07:19.017983+03:00, elapsed: 1.015 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:07:49.001291+03:00, elapsed: 1.025 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:08:19.243981+03:00, elapsed: 0.982 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:08:49.212954+03:00, elapsed: 0.813 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:09:19.439230+03:00, elapsed: 0.882 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:09:48.980960+03:00, elapsed: 0.857 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:10:18.507579+03:00, elapsed: 0.865 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:10:48.488698+03:00, elapsed: 0.820 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:11:18.630082+03:00, elapsed: 0.877 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:11:48.681230+03:00, elapsed: 0.844 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:12:19.010379+03:00, elapsed: 1.011 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:12:49.174172+03:00, elapsed: 1.006 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:13:19.269569+03:00, elapsed: 0.938 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:13:49.234049+03:00, elapsed: 1.017 sec, row count: 5042, max date: 2026-01
