
time: 2026-04-20 03:12:01.878349+03:00, elapsed: 20.547 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:12:01.855751+03:00, elapsed: 20.508 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:12:31.083116+03:00, elapsed: 20.618 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:12:32.763063+03:00, elapsed: 21.193 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:13:01.435091+03:00, elapsed: 20.862 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:13:30.099401+03:00, elapsed: 19.394 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:14:00.869913+03:00, elapsed: 20.179 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:14:29.266243+03:00, elapsed: 18.477 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:14:59.169058+03:00, elapsed: 18.396 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:15:29.536885+03:00, elapsed: 18.640 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:15:59.337027+03:00, elapsed: 18.731 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:16:30.386584+03:00, elapsed: 19.195 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:17:40.018113+03:00, elapsed: 58.652 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:18:02.333141+03:00, elapsed: 21.643 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:18:30.222866+03:00, elapsed: 19.275 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:18:59.657569+03:00, elapsed: 18.494 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:19:29.473660+03:00, elapsed: 18.262 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:19:59.829472+03:00, elapsed: 18.542 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:20:29.094431+03:00, elapsed: 18.707 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:20:59.057642+03:00, elapsed: 18.568 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:21:30.696010+03:00, elapsed: 19.982 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:21:59.849817+03:00, elapsed: 18.940 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:22:30.619614+03:00, elapsed: 19.558 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:23:00.014215+03:00, elapsed: 18.861 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:23:30.736904+03:00, elapsed: 19.474 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:23:58.816621+03:00, elapsed: 18.541 sec, row count: 257065, max date: 2026-02
