
time: 2026-04-20 03:11:46.066281+03:00, elapsed: 30.498 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:12:15.970915+03:00, elapsed: 30.007 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:13:15.760691+03:00, elapsed: 29.624 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:13:45.282020+03:00, elapsed: 29.916 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:14:14.905453+03:00, elapsed: 29.286 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:14:44.022787+03:00, elapsed: 28.458 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:15:15.084098+03:00, elapsed: 29.394 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:15:46.334012+03:00, elapsed: 30.579 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:16:16.980212+03:00, elapsed: 30.983 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:16:46.642872+03:00, elapsed: 30.423 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:17:56.300021+03:00, elapsed: 70.021 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:18:16.675376+03:00, elapsed: 31.107 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:18:45.880549+03:00, elapsed: 30.140 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:19:15.300128+03:00, elapsed: 29.866 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:19:43.142201+03:00, elapsed: 27.741 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:20:13.807908+03:00, elapsed: 28.274 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:20:45.276820+03:00, elapsed: 29.649 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:21:14.821732+03:00, elapsed: 29.186 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:21:44.958919+03:00, elapsed: 29.070 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:22:14.838185+03:00, elapsed: 28.602 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:22:45.842559+03:00, elapsed: 29.614 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:23:15.428743+03:00, elapsed: 29.107 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:23:44.768437+03:00, elapsed: 29.305 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:24:14.588424+03:00, elapsed: 29.084 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:24:44.271794+03:00, elapsed: 28.608 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:25:14.730029+03:00, elapsed: 28.959 sec, row count: 259503, max date: 2026-03
